"Supplementary Table 3. IER, proportion and size of the general adult population, and proportion of the deaths that are expected to exceed K-fold of US average risk within each of the 477 US cities",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1207875,26.5279818052,-80.0814660417,FL,Boynton Beach,77704,"1.34 (1.11, 1.61)","21.0% (19.8%, 23.5%)","   16,282 (15,357, 18,226)","14.6% (13.4%, 16.6%)","   11,311 (10,412, 12,873)","6.7% (5.7%, 8.0%)","  5,212 (4,422, 6,183)","2.9% (1.9%, 3.7%)","  2,231 (1,508, 2,864)","86.8% (83.0%, 89.2%)","79.4% (74.1%, 82.6%)","60.9% (51.9%, 65.9%)","40.8% (28.2%, 47.3%)"
1210275,26.6448544993,-81.9931108298,FL,Cape Coral,183356,"1.09 (0.98, 1.21)","19.8% (19.1%, 22.1%)","   36,387 (35,042, 40,486)","13.0% (12.3%, 14.5%)","   23,839 (22,570, 26,599)","5.2% (4.5%, 5.9%)","  9,492 (8,177, 10,758)","1.7% (1.2%, 2.1%)","  3,150 (2,153, 3,766)","80.1% (77.2%, 82.1%)","70.5% (66.4%, 72.7%)","47.8% (40.7%, 50.5%)","25.8% (17.5%, 28.9%)"
1212875,27.9805997919,-82.7544099135,FL,Clearwater,115501,"1.09 (0.94, 1.25)","18.0% (17.0%, 20.1%)","   20,801 (19,628, 23,231)","12.1% (11.3%, 13.6%)","   14,002 (13,012, 15,699)","5.3% (4.5%, 6.1%)","  6,162 (5,238, 7,058)","2.1% (1.4%, 2.5%)","  2,387 (1,592, 2,923)","82.4% (78.7%, 84.6%)","74.1% (69.1%, 76.7%)","54.4% (46.1%, 57.9%)","33.5% (22.9%, 37.9%)"
1214400,26.2701700158,-80.2592221493,FL,Coral Springs,133058,"0.86 (0.8, 0.99)","14.8% (14.6%, 17.1%)","   19,707 (19,421, 22,803)","8.9% (8.6%, 10.4%)","   11,847 (11,410, 13,887)","3.5% (3.2%, 4.1%)","  4,686 (4,319, 5,497)","1.5% (1.1%, 1.8%)","  1,940 (1,509, 2,372)","77.7% (74.5%, 80.7%)","67.2% (62.5%, 70.6%)","48.1% (41.7%, 51.1%)","31.3% (23.2%, 34.7%)"
1216475,26.0789340778,-80.2869750311,FL,Davie,105146,"0.94 (0.85, 1.09)","16.9% (16.4%, 19.2%)","   17,793 (17,280, 20,232)","10.9% (10.3%, 12.5%)","   11,428 (10,859, 13,106)","4.4% (3.9%, 5.2%)","  4,637 (4,058, 5,464)","1.5% (1.0%, 2.0%)","  1,619 (1,064, 2,086)","79.5% (76.1%, 82.4%)","69.7% (64.8%, 72.9%)","48.2% (40.3%, 52.3%)","27.0% (17.2%, 31.5%)"
1216725,26.3049966413,-80.1277706584,FL,Deerfield Beach,80572,"1.71 (1.42, 2.04)","25.9% (24.8%, 28.3%)","   20,878 (19,957, 22,839)","18.8% (17.4%, 20.9%)","   15,127 (14,039, 16,837)","9.1% (7.9%, 10.6%)","  7,332 (6,348, 8,576)","4.0% (2.8%, 5.1%)","  3,220 (2,265, 4,114)","90.3% (87.3%, 92.2%)","83.8% (79.3%, 86.6%)","65.8% (57.6%, 70.7%)","44.7% (32.7%, 51.8%)"
1217200,28.905060048,-81.2134269839,FL,Deltona,90743,"0.96 (0.82, 1.1)","16.3% (15.3%, 18.5%)","   14,768 (13,884, 16,832)","10.4% (9.5%, 12.0%)","    9,479 (8,656, 10,917)","4.3% (3.6%, 5.1%)","  3,932 (3,256, 4,595)","1.7% (1.1%, 2.1%)","  1,565 (984, 1,893)","80.7% (75.8%, 83.3%)","71.4% (64.8%, 74.4%)","51.6% (41.6%, 54.8%)","32.6% (20.4%, 36.1%)"
1224000,26.1418205174,-80.1471225502,FL,Fort Lauderdale,180071,"1.26 (1.15, 1.43)","20.9% (20.6%, 23.4%)","   37,702 (37,158, 42,189)","13.4% (12.9%, 15.3%)","   24,186 (23,315, 27,566)","5.6% (5.2%, 6.5%)"," 10,071 (9,296, 11,619)","2.5% (2.0%, 2.9%)","  4,419 (3,614, 5,205)","84.1% (81.7%, 86.3%)","74.9% (71.2%, 77.6%)","55.8% (49.9%, 58.7%)","38.4% (30.6%, 41.4%)"
1225175,29.6817027431,-82.345278266,FL,Gainesville,132253,"0.64 (0.58, 0.74)","10.9% (10.5%, 12.1%)","   14,420 (13,884, 15,980)","7.0% (6.6%, 7.8%)","    9,223 (8,700, 10,348)","2.9% (2.6%, 3.3%)","  3,805 (3,445, 4,379)","1.1% (0.9%, 1.4%)","  1,514 (1,174, 1,875)","79.9% (76.7%, 82.3%)","70.5% (66.1%, 73.5%)","50.7% (44.8%, 54.7%)","31.9% (24.1%, 36.6%)"
1232000,26.0287025703,-80.1683976059,FL,Hollywood,153625,"1.35 (1.2, 1.53)","20.9% (20.5%, 23.2%)","   32,131 (31,545, 35,660)","14.0% (13.4%, 15.7%)","   21,468 (20,563, 24,135)","6.3% (5.8%, 7.2%)","  9,738 (8,979, 11,093)","2.9% (2.3%, 3.4%)","  4,434 (3,596, 5,216)","86.0% (83.4%, 87.8%)","78.1% (74.1%, 80.3%)","60.4% (54.0%, 63.0%)","42.4% (33.3%, 45.5%)"
1235000,30.3319820139,-81.6752266207,FL,Jacksonville,892064,"1.18 (1.11, 1.25)","19.6% (19.5%, 21.3%)","  175,065 (173,673, 189,739)","12.8% (12.5%, 13.9%)","  113,771 (111,314, 123,918)","5.3% (5.1%, 5.8%)"," 47,386 (45,064, 51,256)","2.3% (2.1%, 2.5%)"," 20,577 (18,396, 22,166)","84.7% (83.4%, 85.6%)","75.7% (73.5%, 76.6%)","56.1% (52.6%, 56.8%)","38.3% (33.5%, 38.9%)"
1238250,28.0558482664,-81.9539536462,FL,Lakeland,108051,"1.67 (1.42, 1.92)","25.0% (24.2%, 27.0%)","   27,015 (26,108, 29,152)","17.8% (16.7%, 19.5%)","   19,211 (18,080, 21,056)","8.5% (7.5%, 9.6%)","  9,209 (8,116, 10,376)","3.9% (2.9%, 4.6%)","  4,197 (3,188, 5,005)","89.6% (86.9%, 91.1%)","82.9% (78.8%, 85.1%)","65.4% (58.3%, 69.0%)","45.9% (35.3%, 50.9%)"
1239425,27.9090907734,-82.7714203383,FL,Largo,84768,"1.16 (0.96, 1.35)","21.7% (19.9%, 24.1%)","   18,396 (16,836, 20,409)","14.7% (13.1%, 16.6%)","   12,495 (11,105, 14,048)","5.8% (4.3%, 7.0%)","  4,946 (3,619, 5,891)","1.9% (0.9%, 2.5%)","  1,576 (778, 2,115)","83.0% (78.1%, 85.6%)","73.7% (67.0%, 77.0%)","49.5% (37.6%, 54.5%)","25.8% (13.3%, 31.4%)"
1239550,26.1605584187,-80.2241278263,FL,Lauderhill,71976,"1.73 (1.32, 2.01)","24.0% (22.3%, 26.3%)","   17,297 (16,037, 18,902)","16.2% (14.1%, 18.3%)","   11,678 (10,142, 13,188)","7.2% (5.9%, 8.3%)","  5,192 (4,285, 5,988)","3.8% (2.8%, 4.4%)","  2,704 (2,008, 3,166)","90.1% (85.5%, 91.7%)","83.1% (75.6%, 85.6%)","66.9% (56.9%, 70.3%)","52.9% (40.0%, 56.5%)"
1243975,28.1158805782,-80.6508814613,FL,Melbourne,82003,"1.28 (1.08, 1.51)","22.1% (20.7%, 24.4%)","   18,088 (16,964, 19,994)","15.6% (14.5%, 17.5%)","   12,823 (11,881, 14,330)","6.8% (5.6%, 8.1%)","  5,591 (4,557, 6,647)","2.4% (1.4%, 3.2%)","  1,960 (1,173, 2,644)","85.1% (81.4%, 87.5%)","77.3% (72.4%, 80.4%)","55.3% (45.6%, 60.8%)","31.2% (19.4%, 38.3%)"
1245000,25.782295897,-80.2215647762,FL,Miami,463354,"1.99 (1.79, 2.04)","27.1% (26.9%, 28.8%)","  125,489 (124,558, 133,550)","19.0% (18.6%, 20.3%)","   88,116 (86,015, 93,844)","9.2% (8.8%, 9.8%)"," 42,547 (40,530, 45,331)","4.8% (4.3%, 5.0%)"," 22,060 (20,009, 23,348)","91.3% (89.9%, 91.5%)","85.0% (82.5%, 85.1%)","69.6% (65.2%, 69.3%)","53.9% (47.2%, 53.2%)"
1245025,25.8167101614,-80.1341952652,FL,Miami Beach,92319,"1.74 (1.53, 1.99)","23.7% (23.3%, 25.9%)","   21,860 (21,516, 23,893)","16.7% (16.1%, 18.4%)","   15,415 (14,902, 17,022)","8.7% (8.3%, 9.8%)","  8,068 (7,674, 9,020)","4.4% (3.7%, 5.1%)","  4,027 (3,376, 4,723)","89.2% (87.0%, 90.8%)","83.0% (79.7%, 85.0%)","68.6% (63.2%, 71.4%)","50.7% (41.1%, 54.9%)"
1245975,25.9773288233,-80.3357316003,FL,Miramar,140323,"1.01 (0.92, 1.15)","17.0% (16.9%, 19.5%)","   23,806 (23,679, 27,363)","10.3% (9.9%, 12.0%)","   14,455 (13,860, 16,895)","4.1% (3.8%, 4.8%)","  5,703 (5,344, 6,674)","1.8% (1.5%, 2.2%)","  2,568 (2,116, 3,083)","81.1% (78.0%, 83.6%)","70.9% (66.0%, 73.6%)","52.0% (45.4%, 54.6%)","36.4% (27.8%, 38.9%)"
1253000,28.4800646771,-81.3452411179,FL,Orlando,280258,"1.01 (0.94, 1.1)","15.8% (15.8%, 17.2%)","   44,221 (44,412, 48,271)","10.2% (10.0%, 11.2%)","   28,626 (28,094, 31,443)","4.4% (4.2%, 4.8%)"," 12,261 (11,704, 13,405)","2.1% (1.8%, 2.2%)","  5,745 (5,101, 6,310)","84.4% (82.4%, 85.4%)","75.9% (72.6%, 77.0%)","58.1% (53.2%, 59.3%)","42.0% (35.5%, 43.3%)"
1254000,27.9838255249,-80.6666722846,FL,Palm Bay,111660,"0.8 (0.68, 0.9)","13.9% (12.8%, 15.8%)","   15,508 (14,304, 17,620)","8.7% (7.8%, 9.9%)","    9,698 (8,696, 11,077)","3.4% (2.7%, 3.9%)","  3,816 (3,028, 4,381)","1.2% (0.7%, 1.5%)","  1,384 (829, 1,685)","76.5% (71.2%, 79.0%)","66.5% (59.7%, 69.1%)","45.9% (36.2%, 48.9%)","26.9% (16.3%, 30.1%)"
1254200,29.5405590976,-81.2508206143,FL,Palm Coast,88394,"1.06 (0.91, 1.25)","22.3% (20.8%, 24.8%)","   19,687 (18,354, 21,959)","14.5% (13.0%, 16.6%)","   12,852 (11,473, 14,687)","4.8% (3.3%, 6.1%)","  4,255 (2,954, 5,353)","1.2% (0.5%, 1.8%)","  1,074 (476, 1,597)","80.3% (75.6%, 83.5%)","69.0% (62.2%, 73.3%)","40.3% (28.8%, 46.8%)","17.2% (8.0%, 23.2%)"
1255775,26.0127387534,-80.3384522664,FL,Pembroke Pines,170703,"1.21 (1.11, 1.37)","19.9% (19.7%, 22.4%)","   33,952 (33,610, 38,248)","12.8% (12.5%, 14.7%)","   21,930 (21,303, 25,070)","5.5% (5.1%, 6.4%)","  9,418 (8,778, 10,866)","2.4% (1.9%, 2.9%)","  4,079 (3,293, 4,866)","83.7% (81.2%, 85.8%)","74.7% (70.8%, 77.2%)","55.9% (49.7%, 58.6%)","37.7% (29.0%, 40.6%)"
1257425,26.1259853923,-80.2616762465,FL,Plantation,93922,"1.22 (1.09, 1.46)","20.6% (20.1%, 23.4%)","   19,307 (18,889, 22,003)","13.6% (12.9%, 15.7%)","   12,732 (12,147, 14,773)","5.9% (5.3%, 7.0%)","  5,511 (4,988, 6,601)","2.4% (1.8%, 3.1%)","  2,248 (1,679, 2,916)","83.9% (81.0%, 86.8%)","75.1% (70.8%, 78.8%)","55.4% (48.4%, 60.3%)","35.5% (25.9%, 41.5%)"
1258050,26.2428335699,-80.131245161,FL,Pompano Beach,110464,"1.85 (1.57, 2.15)","25.6% (24.7%, 28.5%)","   28,252 (27,305, 31,523)","17.5% (16.5%, 20.0%)","   19,352 (18,194, 22,074)","8.5% (7.7%, 9.8%)","  9,368 (8,527, 10,782)","4.3% (3.5%, 5.1%)","  4,738 (3,825, 5,651)","89.1% (86.3%, 91.0%)","82.3% (78.0%, 84.9%)","67.1% (60.4%, 70.3%)","51.0% (41.2%, 55.3%)"
1258715,27.2808680308,-80.3832154574,FL,Port St. Lucie,189331,"1.29 (1.18, 1.46)","23.7% (23.3%, 25.9%)","   44,870 (44,186, 49,118)","16.0% (15.5%, 17.8%)","   30,294 (29,317, 33,658)","6.5% (5.8%, 7.5%)"," 12,265 (11,046, 14,171)","2.2% (1.7%, 2.8%)","  4,269 (3,190, 5,333)","84.7% (82.7%, 86.7%)","75.4% (72.2%, 78.1%)","52.1% (46.0%, 55.8%)","29.3% (21.7%, 33.5%)"
1263000,27.792894971,-82.6650743239,FL,St. Petersburg,263252,"1.09 (1, 1.21)","19.3% (18.8%, 21.2%)","   50,739 (49,418, 55,796)","13.0% (12.5%, 14.3%)","   34,176 (32,801, 37,733)","5.4% (4.8%, 6.1%)"," 14,101 (12,677, 16,071)","1.9% (1.5%, 2.3%)","  4,921 (3,805, 5,962)","82.2% (80.0%, 84.0%)","73.3% (70.2%, 75.4%)","51.1% (45.7%, 54.2%)","28.8% (22.2%, 32.4%)"
1269700,26.1546878303,-80.299841102,FL,Sunrise,94313,"1.52 (1.3, 1.8)","22.5% (21.9%, 25.3%)","   21,213 (20,654, 23,830)","15.4% (14.5%, 17.6%)","   14,487 (13,670, 16,598)","7.1% (6.5%, 8.4%)","  6,729 (6,100, 7,932)","3.4% (2.7%, 4.2%)","  3,222 (2,539, 3,977)","88.4% (85.4%, 90.5%)","81.1% (76.3%, 84.1%)","64.3% (56.8%, 68.1%)","47.1% (36.1%, 51.8%)"
1270600,30.4548951211,-84.2526459938,FL,Tallahassee,191039,"0.79 (0.74, 0.88)","13.3% (13.2%, 14.4%)","   25,357 (25,150, 27,481)","8.7% (8.5%, 9.5%)","   16,617 (16,176, 18,153)","3.6% (3.5%, 4.1%)","  6,974 (6,596, 7,790)","1.5% (1.3%, 1.8%)","  2,849 (2,446, 3,396)","82.6% (80.6%, 84.3%)","73.7% (70.7%, 75.9%)","53.7% (49.4%, 57.0%)","34.6% (28.8%, 38.6%)"
1271000,27.996198041,-82.4450349799,FL,Tampa,385423,"1.09 (1.03, 1.18)","18.3% (18.5%, 20.2%)","   70,706 (71,168, 77,745)","11.6% (11.5%, 12.9%)","   44,858 (44,384, 49,668)","4.7% (4.5%, 5.2%)"," 18,172 (17,377, 20,072)","2.1% (1.8%, 2.3%)","  7,918 (6,973, 8,717)","83.2% (81.6%, 84.5%)","73.7% (70.9%, 75.1%)","54.1% (49.6%, 55.1%)","37.1% (31.0%, 37.9%)"
1276600,26.7478714655,-80.1337397544,FL,West Palm Beach,110219,"1.26 (1.1, 1.47)","21.1% (20.4%, 23.5%)","   23,276 (22,500, 25,919)","14.4% (13.6%, 16.3%)","   15,916 (15,027, 17,979)","6.3% (5.5%, 7.4%)","  6,926 (6,085, 8,150)","2.5% (1.8%, 3.2%)","  2,782 (2,005, 3,497)","86.1% (83.1%, 88.2%)","77.9% (73.4%, 80.8%)","57.5% (49.9%, 62.0%)","36.7% (26.4%, 41.9%)"
1301052,31.5776036766,-84.1763240815,GA,Albany,71593,"2.14 (1.9, 2.19)","28.3% (27.8%, 29.5%)","   20,238 (19,878, 21,128)","20.5% (19.7%, 21.4%)","   14,674 (14,118, 15,343)","9.7% (9.0%, 10.1%)","  6,949 (6,420, 7,232)","4.9% (4.4%, 5.1%)","  3,532 (3,134, 3,659)","93.0% (91.7%, 93.0%)","87.3% (84.9%, 87.4%)","71.4% (66.8%, 71.4%)","55.7% (49.4%, 55.5%)"
1303440,33.9508170683,-83.3689417445,GA,Athens,125929,"0.76 (0.72, 0.82)","13.0% (12.8%, 14.0%)","   16,380 (16,120, 17,682)","8.5% (8.2%, 9.1%)","   10,647 (10,348, 11,491)","3.5% (3.3%, 3.8%)","  4,382 (4,148, 4,742)","1.4% (1.2%, 1.5%)","  1,757 (1,556, 1,935)","81.9% (80.3%, 82.7%)","72.7% (70.4%, 73.5%)","52.4% (48.9%, 53.4%)","33.2% (28.9%, 34.5%)"
1304000,33.7626524683,-84.4231419055,GA,Atlanta,486299,"1.1 (1.03, 1.17)","17.2% (16.9%, 18.6%)","   83,432 (82,006, 90,216)","11.4% (11.0%, 12.3%)","   55,280 (53,438, 59,818)","4.9% (4.7%, 5.3%)"," 23,899 (22,620, 25,772)","2.3% (2.1%, 2.5%)"," 10,971 (9,975, 11,921)","85.7% (84.3%, 86.2%)","77.5% (75.5%, 78.1%)","59.3% (56.1%, 59.8%)","42.2% (38.0%, 43.0%)"
1304204,33.3644561527,-82.0708396775,GA,Augusta,195678,"1.53 (1.42, 1.6)","23.8% (23.5%, 25.4%)","   46,629 (45,997, 49,767)","16.3% (15.9%, 17.5%)","   31,910 (31,049, 34,211)","7.1% (6.7%, 7.5%)"," 13,806 (13,022, 14,762)","3.2% (2.9%, 3.4%)","  6,344 (5,692, 6,709)","89.1% (87.8%, 89.4%)","81.4% (79.3%, 81.8%)","62.6% (58.8%, 62.8%)","45.1% (40.0%, 45.2%)"
1319000,32.5099614852,-84.8770410586,GA,Columbus,194058,"1.4 (1.31, 1.48)","21.9% (21.6%, 23.5%)","   42,477 (41,968, 45,551)","14.9% (14.5%, 16.0%)","   28,852 (28,106, 31,012)","6.5% (6.2%, 7.0%)"," 12,647 (12,014, 13,570)","3.0% (2.7%, 3.2%)","  5,785 (5,219, 6,170)","88.0% (86.8%, 88.5%)","80.2% (78.2%, 80.8%)","61.7% (58.2%, 62.1%)","44.0% (39.1%, 44.4%)"
1342425,34.0332991998,-84.2027195506,GA,Johns Creek,84359,"0.59 (0.58, 0.65)","10.9% (11.0%, 12.8%)","    9,161 (9,319, 10,822)","5.5% (5.5%, 6.4%)","    4,597 (4,617, 5,398)","1.7% (1.6%, 1.9%)","  1,463 (1,373, 1,628)","0.5% (0.4%, 0.6%)","    441 (349, 495)","60.6% (59.3%, 63.4%)","46.7% (44.6%, 48.8%)","27.8% (24.5%, 28.4%)","13.6% (10.1%, 14.2%)"
1367284,34.0391384583,-84.3512225277,GA,Roswell,94792,"0.81 (0.79, 0.88)","15.6% (15.8%, 17.5%)","   14,813 (14,930, 16,548)","9.5% (9.5%, 10.7%)","    9,008 (9,006, 10,101)","3.4% (3.2%, 3.8%)","  3,219 (3,066, 3,618)","1.0% (0.9%, 1.2%)","    982 (824, 1,126)","75.6% (74.5%, 77.4%)","63.9% (62.1%, 65.7%)","40.4% (37.1%, 42.0%)","20.1% (16.1%, 21.5%)"
1368516,33.9366669867,-84.3703197084,GA,Sandy Springs,106742,"0.82 (0.81, 0.9)","15.5% (15.5%, 17.2%)","   16,509 (16,582, 18,317)","9.8% (9.8%, 10.9%)","   10,476 (10,445, 11,621)","3.8% (3.6%, 4.2%)","  4,032 (3,898, 4,519)","1.2% (1.0%, 1.4%)","  1,264 (1,101, 1,475)","77.9% (76.9%, 79.6%)","67.3% (65.8%, 69.0%)","44.4% (41.6%, 46.4%)","22.5% (18.9%, 24.6%)"
1369000,32.0283615157,-81.1783435493,GA,Savannah,146449,"1.43 (1.34, 1.51)","21.2% (21.0%, 22.8%)","   31,106 (30,708, 33,333)","14.4% (14.0%, 15.5%)","   21,100 (20,498, 22,668)","6.4% (6.1%, 6.9%)","  9,429 (8,966, 10,073)","3.1% (2.8%, 3.3%)","  4,555 (4,141, 4,860)","88.5% (87.2%, 88.9%)","81.1% (79.0%, 81.5%)","63.8% (60.2%, 64.1%)","47.5% (42.6%, 48.0%)"
1380508,32.5985113609,-83.6530271267,GA,Warner Robins,75675,"0.94 (0.89, 1.03)","18.1% (17.8%, 19.8%)","   13,714 (13,456, 15,015)","11.6% (11.2%, 12.8%)","    8,772 (8,491, 9,709)","4.2% (3.9%, 4.8%)","  3,207 (2,942, 3,595)","1.5% (1.2%, 1.7%)","  1,097 (885, 1,257)","81.7% (79.9%, 83.2%)","71.0% (68.1%, 72.8%)","46.7% (42.2%, 48.7%)","26.1% (20.9%, 28.0%)"
1608830,43.5984343897,-116.230885189,ID,Boise City,226567,"0.51 (0.47, 0.56)","9.3% (8.7%, 10.2%)","   20,974 (19,706, 23,151)","5.9% (5.5%, 6.5%)","   13,487 (12,576, 14,740)","2.1% (1.7%, 2.3%)","  4,653 (3,862, 5,167)","0.5% (0.3%, 0.5%)","  1,136 (767, 1,242)","69.0% (66.1%, 69.7%)","59.1% (55.7%, 59.5%)","35.1% (29.8%, 35.7%)","14.4% (9.9%, 14.5%)"
1656260,43.5829315681,-116.564145085,ID,Nampa,93585,"0.81 (0.73, 0.84)","13.9% (13.2%, 15.0%)","   12,968 (12,362, 14,026)","8.9% (8.4%, 9.6%)","    8,377 (7,872, 8,961)","3.8% (3.4%, 4.0%)","  3,539 (3,174, 3,750)","1.5% (1.1%, 1.5%)","  1,360 (1,072, 1,417)","80.8% (78.3%, 81.0%)","71.5% (68.1%, 71.4%)","51.5% (46.5%, 51.2%)","31.2% (24.9%, 30.7%)"
1702154,42.095623342,-87.9825627457,IL,Arlington Heights,75097,"1.28 (1.19, 1.37)","19.6% (19.3%, 21.1%)","   14,695 (14,490, 15,829)","13.5% (13.2%, 14.4%)","   10,136 (9,938, 10,802)","6.9% (6.6%, 7.4%)","  5,198 (4,957, 5,549)","2.8% (2.3%, 3.1%)","  2,101 (1,738, 2,321)","83.4% (81.6%, 84.4%)","76.1% (73.7%, 77.1%)","59.7% (55.6%, 60.9%)","36.8% (30.1%, 38.7%)"
1703012,41.7637750837,-88.2900949057,IL,Aurora,202548,"0.64 (0.61, 0.7)","11.5% (11.3%, 13.2%)","   23,370 (22,882, 26,663)","7.0% (6.7%, 7.9%)","   14,123 (13,628, 16,042)","2.6% (2.3%, 2.9%)","  5,217 (4,713, 5,869)","0.9% (0.7%, 1.0%)","  1,748 (1,353, 1,937)","72.8% (70.4%, 74.2%)","61.9% (58.6%, 62.9%)","40.7% (35.7%, 41.5%)","22.2% (16.3%, 22.5%)"
1706613,40.4756778366,-88.9700813515,IL,Bloomington,77941,"0.56 (0.51, 0.61)","9.8% (9.3%, 10.9%)","    7,616 (7,239, 8,491)","6.2% (5.8%, 6.8%)","    4,808 (4,536, 5,316)","2.3% (2.0%, 2.6%)","  1,807 (1,549, 2,032)","0.7% (0.5%, 0.8%)","    537 (368, 634)","71.2% (67.9%, 72.9%)","61.2% (57.3%, 62.8%)","39.5% (33.5%, 41.4%)","19.3% (13.1%, 21.4%)"
1707133,41.6911653908,-88.1011218035,IL,Bolingbrook,72155,"0.42 (0.39, 0.47)","6.9% (6.7%, 8.3%)","    4,977 (4,807, 6,020)","3.8% (3.6%, 4.5%)","    2,709 (2,571, 3,226)","1.2% (1.1%, 1.4%)","    894 (761, 1,030)","0.4% (0.3%, 0.5%)","    277 (184, 325)","58.8% (54.9%, 61.8%)","47.3% (42.8%, 49.5%)","29.0% (23.1%, 30.2%)","14.9% (9.4%, 15.9%)"
1712385,40.1151051361,-88.2729845986,IL,Champaign,87426,"0.51 (0.48, 0.56)","9.5% (9.2%, 10.4%)","    8,316 (8,042, 9,122)","6.0% (5.8%, 6.6%)","    5,244 (5,028, 5,766)","2.2% (1.9%, 2.5%)","  1,886 (1,696, 2,166)","0.6% (0.5%, 0.8%)","    529 (396, 668)","73.9% (71.4%, 75.8%)","63.2% (60.1%, 65.4%)","39.4% (34.8%, 42.6%)","18.2% (13.4%, 21.6%)"
1714000,41.8372950615,-87.6862308732,IL,Chicago,2716462,"1.11 (1.06, 1.19)","18.4% (18.3%, 20.4%)","  500,114 (497,498, 553,013)","12.0% (11.8%, 13.3%)","  326,022 (319,610, 361,405)","5.0% (4.8%, 5.5%)","136,702 (130,711, 149,636)","2.2% (2.0%, 2.4%)"," 59,839 (53,825, 65,121)","84.7% (83.5%, 85.5%)","75.8% (73.8%, 76.4%)","56.4% (53.0%, 56.7%)","38.6% (34.0%, 38.7%)"
1718823,39.8555822645,-88.9336983421,IL,Decatur,68645,"1.41 (1.27, 1.56)","23.1% (22.4%, 24.7%)","   15,841 (15,345, 16,978)","16.0% (15.2%, 17.3%)","   10,967 (10,450, 11,866)","7.2% (6.5%, 8.0%)","  4,927 (4,486, 5,454)","3.0% (2.4%, 3.5%)","  2,044 (1,653, 2,369)","87.5% (85.5%, 88.9%)","79.7% (76.7%, 81.5%)","60.0% (54.8%, 62.8%)","39.1% (31.9%, 42.8%)"
1723074,42.0385402472,-88.3224947104,IL,Elgin,114459,"0.67 (0.62, 0.73)","12.1% (11.8%, 13.7%)","   13,795 (13,512, 15,713)","7.3% (7.0%, 8.3%)","    8,361 (8,072, 9,485)","2.7% (2.4%, 3.0%)","  3,063 (2,735, 3,452)","0.9% (0.6%, 1.0%)","    984 (711, 1,115)","72.4% (69.5%, 74.1%)","61.5% (57.7%, 62.9%)","39.9% (34.1%, 41.0%)","21.0% (14.5%, 21.9%)"
1724582,42.0463099649,-87.6940348773,IL,Evanston,74752,"0.94 (0.91, 1.04)","16.7% (16.9%, 18.5%)","   12,519 (12,626, 13,825)","10.6% (10.6%, 11.8%)","    7,940 (7,922, 8,820)","4.3% (4.2%, 4.9%)","  3,249 (3,121, 3,636)","1.6% (1.4%, 1.9%)","  1,212 (1,033, 1,420)","80.2% (78.8%, 82.1%)","70.2% (67.9%, 72.4%)","49.5% (45.6%, 51.8%)","29.2% (23.9%, 32.2%)"
1738570,41.5206390037,-88.1507097756,IL,Joliet,147150,"0.56 (0.53, 0.62)","9.6% (9.2%, 10.8%)","   14,063 (13,500, 15,934)","5.9% (5.6%, 6.6%)","    8,709 (8,298, 9,774)","2.3% (2.0%, 2.5%)","  3,346 (2,992, 3,743)","0.8% (0.6%, 0.9%)","  1,157 (886, 1,289)","72.0% (69.0%, 73.2%)","62.1% (58.4%, 63.0%)","41.9% (36.3%, 42.7%)","23.6% (17.5%, 24.1%)"
1751622,41.7482001145,-88.1657705099,IL,Naperville,148584,"0.39 (0.36, 0.43)","7.0% (6.7%, 8.0%)","   10,476 (10,011, 11,865)","4.2% (3.9%, 4.7%)","    6,223 (5,757, 6,974)","1.0% (0.8%, 1.2%)","  1,506 (1,140, 1,717)","0.2% (0.1%, 0.2%)","    233 (125, 273)","57.3% (54.2%, 58.7%)","45.9% (41.9%, 46.9%)","20.3% (15.2%, 21.3%)","5.5% (2.9%, 6.0%)"
1757225,42.1180663695,-88.042989882,IL,Palatine,68610,"0.78 (0.75, 0.86)","15.3% (15.3%, 16.9%)","   10,463 (10,491, 11,619)","9.3% (9.2%, 10.4%)","    6,409 (6,340, 7,134)","3.4% (3.0%, 3.8%)","  2,306 (2,094, 2,593)","0.9% (0.6%, 1.1%)","    639 (438, 759)","74.8% (72.6%, 76.9%)","63.2% (60.0%, 65.3%)","39.3% (33.7%, 41.3%)","17.9% (11.8%, 19.9%)"
1759000,40.7515684146,-89.615255458,IL,Peoria,115637,"1.28 (1.18, 1.4)","20.2% (19.8%, 21.9%)","   23,370 (22,890, 25,362)","13.8% (13.4%, 15.0%)","   15,956 (15,469, 17,351)","6.3% (6.0%, 7.0%)","  7,343 (6,896, 8,063)","2.7% (2.4%, 3.1%)","  3,169 (2,734, 3,603)","86.1% (84.5%, 87.3%)","78.3% (76.0%, 79.8%)","60.1% (56.1%, 62.0%)","40.2% (34.5%, 42.8%)"
